ID,Genus,Species,Taxon,Longitude,Latitude,Plant,Date,Source,Dataset,Detail URL,Error Radius (m)
in:225024301,Lupinus,arboreus,Lupinus arboreus,-120.463858,34.449272,Lupinus arboreusCoastal bush lupine,2024-06-24,iNaturalist,inat-r,/entry/occdetail.html?seq_num=in:225024301,2
in:225009322,Digitalis,purpurea,Digitalis purpurea,-120.44427,34.458097,Digitalis purpureaFoxglove,2024-06-24,iNaturalist,inat-r,/entry/occdetail.html?seq_num=in:225009322,3
5934740,Deinandra,increscens,Deinandra increscens ssp. increscens,-120.473991,34.480704,Deinandra increscens ssp. increscensGrassland tarweed,2023-10-19,Cal Poly,cch2,https://www.cch2.org/portal/collections/individual/index.php?occid=5934740,3989
5934729,Deinandra,increscens,Deinandra increscens ssp. villosa,-120.440488,34.452445,Deinandra increscens ssp. villosaGaviota tarplant,2023-10-19,Cal Poly,cch2,https://www.cch2.org/portal/collections/individual/index.php?occid=5934729,3989
5934730,Deinandra,increscens,Deinandra increscens ssp. villosa,-120.448657,34.451309,Deinandra increscens ssp. villosaGaviota tarplant,2023-10-19,Cal Poly,cch2,https://www.cch2.org/portal/collections/individual/index.php?occid=5934730,3989
5972283,Deinandra,increscens,Deinandra increscens,-120.49466,34.49929,Deinandra increscensGrassland tarweed,2023-08-04,Santa Barbara BG,cch2,https://www.cch2.org/portal/collections/individual/index.php?occid=5972283,3989
5972293,Isocoma,menziesii,Isocoma menziesii,-120.49466,34.49929,Isocoma menziesiiMenzies' goldenbush,2023-08-04,Santa Barbara BG,cch2,https://www.cch2.org/portal/collections/individual/index.php?occid=5972293,3989
in:176059858,Pteridium,aquilinum,Pteridium aquilinum,-120.455955,34.56435,Pteridium aquilinumWestern brackenfern,2023-07-24,iNaturalist,inat-r,/entry/occdetail.html?seq_num=in:176059858,4
in:175627763,Trifolium,hirtum,Trifolium hirtum,-120.450837,34.562847,Trifolium hirtumRose clover,2023-07-24,iNaturalist,inat-r,/entry/occdetail.html?seq_num=in:175627763,4
svy5031,checklist,,checklist,-120.45556,34.493616,survey / checklist,2023-03-01,TNC,online,/entry/occdetail.html?seq_num=svy5031,NA
in:133046451,Carthamus,lanatus,Carthamus lanatus,-120.409834,34.545748,Carthamus lanatusWoolly distaff thistle,2022-08-22,iNaturalist,inat-r,/entry/occdetail.html?seq_num=in:133046451,2772
UCR-298576,Deinandra,increscens,Deinandra increscens ssp. increscens ssp. villosa,-120.48519,34.48706,Deinandra increscens ssp. increscens ssp. villosaGrassland tarweed,2022-08-18,UC Riverside,cch2,https://www.cch2.org/portal/collections/individual/index.php?occid=5733534,3989
UCR-298577,Deinandra,increscens,Deinandra increscens ssp. villosa,-120.46978,34.46561,Deinandra increscens ssp. villosaGaviota tarplant,2022-08-18,UC Riverside,cch2,https://www.cch2.org/portal/collections/individual/index.php?occid=5733533,3989
UCR-298578,Deinandra,increscens,Deinandra increscens ssp. villosa,-120.46461,34.46319,Deinandra increscens ssp. villosaGaviota tarplant,2022-08-18,UC Riverside,cch2,https://www.cch2.org/portal/collections/individual/index.php?occid=5733532,3989
UCR-298579,Deinandra,increscens,Deinandra increscens ssp. villosa ssp. increscens,-120.45739,34.45186,Deinandra increscens ssp. villosa ssp. increscensGrassland tarweed,2022-08-18,UC Riverside,cch2,https://www.cch2.org/portal/collections/individual/index.php?occid=5733531,3989
UC2094072,Deinandra,increscens,Deinandra increscens ssp. villosa,-120.464611,34.463194,Deinandra increscens ssp. villosaGaviota tarplant,2022-08-17,UC/JEPS,cch2,https://www.cch2.org/portal/collections/individual/index.php?occid=5963518,10
UC2094074,Deinandra,increscens,Deinandra increscens ssp. villosa,-120.485194,34.487056,Deinandra increscens ssp. villosaGaviota tarplant,2022-08-17,UC/JEPS,cch2,https://www.cch2.org/portal/collections/individual/index.php?occid=5963912,10
