associatedsequences,barcodevalue,basisofrecord,bed,canonicalname,catalognumber,class,collectioncode,collectionid,collectionname,collector,commonname,commonnames,continent,coordinateuncertainty,country,countrycode,county,datasetid,datecollected,datemodified,dqs,earliestageorloweststage,earliesteonorlowesteonothem,earliestepochorlowestseries,earliesteraorlowesterathem,earliestperiodorlowestsystem,etag,eventdate,family,fieldnumber,flags,formation,genus,geologicalcontextid,longitude,latitude,group,hasImage,hasMedia,highertaxon,highestbiostratigraphiczone,individualcount,infraspecificepithet,institutioncode,institutionid,institutionname,kingdom,latestageorhigheststage,latesteonorhighesteonothem,latestepochorhighestseries,latesteraorhighesterathem,latestperiodorhighestsystem,lithostratigraphicterms,locality,lowestbiostratigraphiczone,maxdepth,maxelevation,mediarecords,member,mindepth,minelevation,municipality,occurrenceid,order,phylum,recordids,recordnumber,recordset,name,specificepithet,startdayofyear,stateprovince,taxonid,taxonomicstatus,taxonrank,typestatus,uuid,verbatimeventdate,verbatimlocality,version,waterbody,prov
NA,NA,preservedspecimen,NA,dichorda iridaria,cmnhent0076790,insecta,insects,0197093b-f523-468f-8e90-6f94faa24395,NA,"perry, g.",NA,,north america,NA,united states,usa,santa barbara,7ddf754f-d193-4cc9-b351-99906754a03b,NA,2019-08-29T22:51:15.736786+00:00,0.21739130434782608,NA,NA,NA,NA,NA,92e353d51143e42e20d1e17310c345a50da6b1ad,NA,geometridae,NA,,NA,dichorda,NA,-120.471,34.448,NA,FALSE,FALSE,NA,NA,1,NA,"cleveland museum of natural history, oh (clev)",NA,NA,animalia,NA,NA,NA,NA,NA,NA,"ca, santa barbara co. point conception area",NA,NA,NA,,NA,NA,NA,NA,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:cmnhent0076790,lepidoptera,arthropoda,,NA,a8d88237-2f62-4ad5-b1f7-ab13ace304df,dichorda iridaria,iridaria,NA,california,1980250,accepted,species,NA,000455d5-e559-476e-9094-34c64307c066,no date,NA,NA,NA,idigbio
NA,NA,preservedspecimen,NA,engraulis mordax,47390.004,actinopterygii,fish,https://scientific-collections.gbif.org/collection/439095a6-e9e0-412b-b770-2a9200251977,NA,usc ichthyoplankton coastal & harbor studies,NA,,north america,NA,united states,usa,NA,7ddf754f-d193-4cc9-b351-99906754a03b,1978-06-21,2024-07-12T19:35:10.420091+00:00,0.2463768115942029,NA,NA,NA,NA,NA,6dd7ee0cfd745901f31ed2849fe33aa5549cc450,1978-06-21,engraulidae,NA,,NA,engraulis,NA,-120.44,34.445,NA,FALSE,FALSE,animalia | chordata |  | clupeiformes | engraulidae | engraulis,NA,7,NA,lacm,https://scientific-collections.gbif.org/institution/2fc908ba-e775-49e2-bffe-6b9041c3b70f,NA,animalia,NA,NA,NA,NA,NA,NA,southern california: coho bay,NA,NA,NA,,NA,NA,NA,NA,5c5f9127-3292-4f88-9351-9c613787f2ee,clupeiformes,chordata,,0018008ob,2d853a6d-50ec-4931-8e91-48fc2491fdee,"engraulis mordax girard, 1854",mordax,172,california,2414024,accepted,species,NA,000f21ed-4aac-4fc2-ae98-1ccd45a9cb4c,NA,eastern pacific | usa | california |  | southern california: coho bay,NA,eastern pacific,idigbio
NA,NA,preservedspecimen,NA,genyonemus lineatus,52740.021,actinopterygii,fish,https://scientific-collections.gbif.org/collection/439095a6-e9e0-412b-b770-2a9200251977,NA,usc ichthyoplankton coastal & harbor studies,NA,,north america,NA,united states,usa,NA,7ddf754f-d193-4cc9-b351-99906754a03b,1979-03-22,2024-07-12T19:35:10.420091+00:00,0.2753623188405797,NA,NA,NA,NA,NA,3484e8b3daa48fcb472103c5eb9d9cd08d7e56aa,1979-03-22,sciaenidae,NA,,NA,genyonemus,NA,-120.4333333333,34.443333333333,NA,FALSE,FALSE,animalia | chordata |  | perciformes | sciaenidae | genyonemus,NA,5,NA,lacm,https://scientific-collections.gbif.org/institution/2fc908ba-e775-49e2-bffe-6b9041c3b70f,NA,animalia,NA,NA,NA,NA,NA,NA,southern california: cojo bay,NA,NA,NA,,NA,NA,NA,NA,82150bb6-cf7d-420f-933a-5b5d83145d18,perciformes,chordata,,0108015bb,2d853a6d-50ec-4931-8e91-48fc2491fdee,"genyonemus lineatus (ayres, 1855)",lineatus,81,california,2399573,accepted,species,NA,000fc4bc-002e-4922-a9a3-c6de6df13c79,NA,eastern pacific | usa | california |  | southern california: cojo bay,NA,eastern pacific,idigbio
NA,NA,preservedspecimen,NA,lecanactis californica,obi146110,arthoniomycetes,NA,dd7eab58-4d18-4798-aafa-c733b0a47af4,NA,jason dart,NA,,north america,NA,united states,usa,santa barbara,7ddf754f-d193-4cc9-b351-99906754a03b,2017-02-25,2023-05-05T11:33:57.750133+00:00,0.3333333333333333,NA,NA,NA,NA,NA,edd13d082f0e9166f008cc7c365f424e8d09c3c2,2017-02-25,roccellaceae,NA,,NA,lecanactis,NA,-120.464655,34.449708,NA,TRUE,TRUE,fungi|dikarya|ascomycota|pezizomycotina|arthoniomycetes|arthoniomycetidae|arthoniales|roccellaceae|lecanactis,NA,NA,NA,obi,NA,NA,fungi,NA,NA,NA,NA,NA,NA,"cojo ranch, dunes behind the point conception light house.",NA,NA,NA,,NA,NA,40,NA,b2c42e24-02c8-4bcb-b282-141fa70f6934,arthoniales,ascomycota,,754,ea9d9c05-11b3-4514-898e-66bd8560ec5b,lecanactis californica,californica,56,california,5258441,accepted,species,NA,00164b13-da28-43eb-bdf4-6202a57f66ec,NA,NA,NA,NA,idigbio
NA,NA,preservedspecimen,NA,gryllita,cmnhent0071343,insecta,insects,0197093b-f523-468f-8e90-6f94faa24395,NA,"perry, g.",NA,,north america,NA,united states,usa,santa barbara,7ddf754f-d193-4cc9-b351-99906754a03b,NA,2019-08-29T22:51:15.736786+00:00,0.2028985507246377,NA,NA,NA,NA,NA,f97f3e62afcb94a6205f09cdd7901b6edf09419e,NA,gryllidae,NA,,NA,gryllita,NA,-120.471,34.448,NA,FALSE,FALSE,NA,NA,1,NA,"cleveland museum of natural history, oh (clev)",NA,NA,animalia,NA,NA,NA,NA,NA,NA,"ca, santa barbara co. point conception area",NA,NA,NA,,NA,NA,NA,NA,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:cmnhent0071343,orthoptera,arthropoda,,NA,a8d88237-2f62-4ad5-b1f7-ab13ace304df,gryllidae,NA,NA,california,1723851,accepted,genus,NA,001b6dbc-d83a-4987-98c0-84b7ad6894d4,no date,NA,NA,NA,idigbio
NA,NA,preservedspecimen,NA,hypsurus caryi,35689.009,actinopterygii,fish,https://scientific-collections.gbif.org/collection/439095a6-e9e0-412b-b770-2a9200251977,NA,r/v searcher,NA,,north america,2534,united states,usa,santa barbara,7ddf754f-d193-4cc9-b351-99906754a03b,1971-04-01,2024-07-12T19:35:10.420091+00:00,0.30434782608695654,NA,NA,NA,NA,NA,56f25d925df2b0d36591dfab69e6c78605d278d4,1971-04-01,embiotocidae,NA,,NA,hypsurus,NA,-120.426827,34.442313,NA,FALSE,FALSE,animalia | chordata |  | perciformes | embiotocidae | hypsurus,NA,3,NA,lacm,https://scientific-collections.gbif.org/institution/2fc908ba-e775-49e2-bffe-6b9041c3b70f,NA,animalia,NA,NA,NA,NA,NA,NA,just south of pt. conception - 1.5 mi. e. of government pt.,NA,NA,NA,,NA,NA,NA,NA,516fd715-fbb6-419f-a7e7-e1cbdf6fb86f,perciformes,chordata,,sta. 74,2d853a6d-50ec-4931-8e91-48fc2491fdee,"hypsurus caryi (agassiz, 1853)",caryi,91,california,2389310,accepted,species,NA,00256a95-5ef0-42f3-a0b7-e97ed5a00d73,NA,eastern pacific | usa | california | santa barbara | just south of pt. conception - 1.5 mi. e. of government pt.,NA,eastern pacific,idigbio
NA,NA,preservedspecimen,NA,wormaldia,casent9101281,insecta,casent,http://grscicoll.org/institutional-collection/entomology,NA,larry e. serpa,NA,,north america,NA,united states,usa,santa barbara,7ddf754f-d193-4cc9-b351-99906754a03b,2019-06-03,2024-07-12T19:12:33.994880+00:00,0.2318840579710145,NA,NA,NA,NA,NA,9f497e7e3d8d50b34afd9a7e63a4edf4405dab26,2019-06-03,philopotamidae,25654,,NA,wormaldia,NA,-120.4746944,34.51405556,NA,FALSE,FALSE,NA,NA,5,NA,casc,http://grbio.org/institution/california-academy-sciences,NA,animalia,NA,NA,NA,NA,NA,NA,gasper creek,NA,NA,NA,,NA,NA,NA,NA,urn:catalog:cas:ent:9101281,trichoptera,arthropoda,,NA,87c45c90-ba1d-409e-a9d7-9baf5a5cbb1c,wormaldia,NA,154,california,1431549,accepted,genus,NA,003d7c7f-1496-47af-b640-a7fa33e28efb,6/3/19,NA,NA,NA,idigbio
NA,NA,preservedspecimen,NA,quercus,sbbg205380,magnoliopsida,NA,3818e0aa-b6a4-11e8-b408-001a64db2964,NA,"e. r. blakley, k. k. muller",NA,,north america,1000,united states,usa,santa barbara,7ddf754f-d193-4cc9-b351-99906754a03b,1960-06-08,2023-05-05T11:17:33.911779+00:00,0.30434782608695654,NA,NA,NA,NA,NA,40e79619fed80836d41dc987dc4041f8d8d575fa,1960-06-08,fagaceae,NA,,NA,quercus,NA,-120.3818,34.4935,NA,TRUE,TRUE,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|rosanae|fagales|fagaceae|quercus|quercus parvula,NA,NA,parvula,sbbg,NA,NA,plantae,NA,NA,NA,NA,NA,NA,"santa ynez mtns: head of cyn del cojo, ca. 5.5 mi ne of pt conception",NA,NA,NA,,NA,NA,NA,NA,11295cbb-b4e4-4095-afe2-e357096d8ad9,fagales,tracheophyta,,3469,d7540872-1c53-48ac-a617-2d0739eadcbd,quercus parvula var. parvula,parvula,160,california,2877951,accepted,genus,NA,003fd604-9897-4d1d-86ca-244df3e3f08f,1960-6-8,NA,NA,NA,idigbio
NA,NA,preservedspecimen,NA,lecidea,0015104,lecanoromycetes,NA,8f07e9fb-8d26-49c1-8ce4-de648c7e7c0a,NA,theodore l. esslinger,NA,,north america,NA,united states,usa,santa barbara,7ddf754f-d193-4cc9-b351-99906754a03b,1996-12-29,2015-09-30T14:33:12.072129+00:00,0.2608695652173913,NA,NA,NA,NA,NA,a0b750d42c390e0bfdc8cb926184b6f257ea4355,1996-12-29,lecideaceae,NA,,NA,lecidea,NA,-120.365,34.493333,NA,TRUE,TRUE,NA,NA,NA,NA,tle,NA,NA,fungi,NA,NA,NA,NA,NA,NA,"hollister ranch, parcel 47, west end of the santa ynez mountain range, near top of the mountains",NA,NA,500,,NA,NA,400,NA,1553269,lecanorales,ascomycota,,15264,dfd53a42-8f63-4040-93a5-3f1347ce7686,lecidea,NA,364,california,2569865,accepted,genus,NA,004a7040-d92b-4e39-9b8e-2264cd4646a8,NA,NA,NA,NA,idigbio
NA,NA,preservedspecimen,NA,NA,55516.030,NA,fish,https://scientific-collections.gbif.org/collection/439095a6-e9e0-412b-b770-2a9200251977,NA,usc ichthyoplankton coastal & harbor studies,NA,,north america,NA,united states,usa,NA,NA,1980-03-16,2024-07-12T19:35:10.420091+00:00,0.3333333333333333,NA,NA,NA,NA,NA,434574b7d4aad5c705c398a562f093e2aee2ef28,1980-03-16,myctophidae,NA,,NA,myctophidae,NA,-120.44,34.445,NA,FALSE,FALSE,animalia | chordata |  | myctophiformes | myctophidae | myctophidae,NA,NA,NA,lacm,https://scientific-collections.gbif.org/institution/2fc908ba-e775-49e2-bffe-6b9041c3b70f,NA,animalia,NA,NA,NA,NA,NA,NA,southern california: coho bay,NA,NA,NA,,NA,NA,NA,NA,6c2fa1ab-f978-434b-8aeb-ad72a4d8fd8e,myctophiformes,NA,,0228008ob,2d853a6d-50ec-4931-8e91-48fc2491fdee,myctophidae,NA,76,california,NA,NA,genus,NA,008ef6b7-479d-4926-9ee1-098b87752ed5,NA,eastern pacific | usa | california |  | southern california: coho bay,NA,eastern pacific,idigbio
