id,observed_on,description,latitude,longitude,map_scale,timeframe,species_guess,user_id,taxon_id,created_at,updated_at,place_guess,id_please,observed_on_string,iconic_taxon_id,num_identification_agreements,num_identification_disagreements,time_observed_at,time_zone,location_is_exact,delta,positional_accuracy,private_latitude,private_longitude,geoprivacy,quality_grade,positioning_method,positioning_device,out_of_range,license,uri,observation_photos_count,comments_count,zic_time_zone,oauth_application_id,observation_sounds_count,identifications_count,captive,community_taxon_id,site_id,old_uuid,public_positional_accuracy,mappable,cached_votes_total,last_indexed_at,private_place_guess,uuid,taxon_geoprivacy,tag_list,short_description,user_login,iconic_taxon_name,faves_count,created_at_utc,updated_at_utc,time_observed_at_utc,owners_identification_from_vision,photos,taxon.id,taxon.name,taxon.rank,taxon.ancestry,taxon.common_name.id,taxon.common_name.name,taxon.common_name.is_valid,taxon.common_name.lexicon,iconic_taxon.id,iconic_taxon.name,iconic_taxon.rank,iconic_taxon.rank_level,iconic_taxon.ancestry,user.login,user.user_icon_url
165448466,2023-06-03,,34.565105,-120.45835,NA,NA,,20465,53380,2023-06-04T05:26:35.218Z,2023-06-04T05:26:40.058Z,"Lompoc, CA, US",FALSE,2023-06-03 17:34:24-07:00,47126,0,0,2023-06-04T00:34:24.000Z,Pacific Time (US & Canada),FALSE,FALSE,4,NA,NA,NA,needs_id,NA,NA,NA,CC-BY-NC,https://www.inaturalist.org/observations/165448466,1,0,America/Los_Angeles,3,0,1,FALSE,NA,1,NA,4,TRUE,0,2023-09-01T18:45:32.072Z,NA,471bb984-23f0-466e-a220-4b171fbcc51a,NA,,,brock,Plantae,0,2023-06-04T05:26:35.218Z,2023-06-04T05:26:40.058Z,2023-06-04T00:34:24.000Z,TRUE,,53380,Arctostaphylos tomentosa,species,48460/47126/211194/47125/47124/47181/133387/571287/47179,84589,woollyleaf manzanita,TRUE,English,47126,Plantae,kingdom,70,48460,brock,https://static.inaturalist.org/attachments/users/icons/20465/thumb.jpg?1591023294
165448487,2023-06-03,,34.5651366667,-120.4583583333,NA,NA,chamise,20465,47146,2023-06-04T05:26:54.489Z,2023-06-04T05:42:26.616Z,"Lompoc, CA, US",FALSE,2023-06-03 17:32:18-07:00,47126,1,0,2023-06-04T00:32:18.000Z,Pacific Time (US & Canada),FALSE,FALSE,4,NA,NA,NA,research,NA,NA,NA,CC-BY-NC,https://www.inaturalist.org/observations/165448487,1,0,America/Los_Angeles,3,0,2,FALSE,47146,1,NA,4,TRUE,0,2023-09-01T18:45:32.072Z,NA,590104c1-8968-4e04-b403-2606237427a8,NA,,,brock,Plantae,0,2023-06-04T05:26:54.489Z,2023-06-04T05:42:26.616Z,2023-06-04T00:32:18.000Z,TRUE,,47146,Adenostoma fasciculatum,species,48460/47126/211194/47125/47124/47132/47148/922110/922115/47147,88265,chamise,TRUE,English,47126,Plantae,kingdom,70,48460,brock,https://static.inaturalist.org/attachments/users/icons/20465/thumb.jpg?1591023294
165448513,2023-06-03,,34.5651466667,-120.4583966667,NA,NA,,20465,78808,2023-06-04T05:27:12.925Z,2023-06-04T05:27:18.002Z,"Lompoc, CA, US",FALSE,2023-06-03 17:31:58-07:00,47126,0,0,2023-06-04T00:31:58.000Z,Pacific Time (US & Canada),FALSE,FALSE,4,NA,NA,NA,needs_id,NA,NA,NA,CC-BY-NC,https://www.inaturalist.org/observations/165448513,1,0,America/Los_Angeles,3,0,1,FALSE,NA,1,NA,4,TRUE,0,2024-03-28T17:25:30.627Z,NA,49bedb2c-90c5-4521-a0e2-67ccc460250c,open,,,brock,Plantae,0,2023-06-04T05:27:12.925Z,2023-06-04T05:27:18.002Z,2023-06-04T00:31:58.000Z,TRUE,,78808,Quercus parvula,species,48460/47126/211194/47125/47124/47853/47852/47851/861029/861036/1542658,522504,coast oak,TRUE,English,47126,Plantae,kingdom,70,48460,brock,https://static.inaturalist.org/attachments/users/icons/20465/thumb.jpg?1591023294
165448571,2023-06-03,,34.5642616667,-120.4549783333,NA,NA,,20465,51691,2023-06-04T05:28:08.276Z,2023-06-04T05:28:16.875Z,"Lompoc, CA, US",FALSE,2023-06-03 17:27:48-07:00,47126,0,0,2023-06-04T00:27:48.000Z,Pacific Time (US & Canada),FALSE,FALSE,4,NA,NA,NA,needs_id,NA,NA,NA,CC-BY-NC,https://www.inaturalist.org/observations/165448571,1,0,America/Los_Angeles,3,0,1,FALSE,NA,1,NA,4,TRUE,0,2023-09-01T18:59:14.293Z,NA,30a5acdb-ca07-4f3b-8b47-8758343843a2,NA,,,brock,Plantae,0,2023-06-04T05:28:08.276Z,2023-06-04T05:28:16.875Z,2023-06-04T00:27:48.000Z,TRUE,,51691,Lupinus albifrons,species,48460/47126/211194/47125/47124/47123/47122/507502/548591/47121/1424224,1181590,Silver Bush Lupine,TRUE,English,47126,Plantae,kingdom,70,48460,brock,https://static.inaturalist.org/attachments/users/icons/20465/thumb.jpg?1591023294
165799812,2023-06-05,Murre? Cormorant? Not sure about this one,34.4612466667,-120.4718466667,NA,NA,Cormorants and Shags,2917974,4262,2023-06-05T22:15:13.050Z,2023-06-06T04:58:38.134Z,"Goleta, CA, US",FALSE,2023-06-05 09:58:13-07:00,3,1,0,2023-06-05T16:58:13.000Z,Pacific Time (US & Canada),FALSE,FALSE,106,NA,NA,NA,needs_id,NA,NA,NA,CC-BY-NC,https://www.inaturalist.org/observations/165799812,4,0,America/Los_Angeles,3,0,2,FALSE,3,1,NA,106,TRUE,0,2023-11-03T21:52:46.311Z,NA,b7df40d3-9081-4aad-afd4-9331d117ee6c,NA,,Murre? Cormorant? Not sure about this one,acastelein,Aves,0,2023-06-05T22:15:13.050Z,2023-06-06T04:58:38.134Z,2023-06-05T16:58:13.000Z,FALSE,,4262,Phalacrocoracidae,family,48460/1/2/355675/3/71268,150313,Cormorants and Shags,TRUE,English,3,Aves,class,50,48460/1/2/355675,acastelein,https://static.inaturalist.org/attachments/users/icons/2917974/thumb.png?1656509435
165800004,2023-06-05,,34.464021849,-120.4702454592,NA,NA,California dodder,2917974,57019,2023-06-05T22:16:26.137Z,2023-06-06T16:35:49.356Z,"Goleta, CA, US",FALSE,2023-06-05 10:03:43-07:00,47126,1,0,2023-06-05T17:03:43.000Z,Pacific Time (US & Canada),FALSE,FALSE,326,NA,NA,NA,research,NA,NA,NA,CC-BY-NC,https://www.inaturalist.org/observations/165800004,2,0,America/Los_Angeles,3,0,2,FALSE,57019,1,NA,326,TRUE,0,2023-11-03T21:53:18.513Z,NA,11c6b93e-71ce-4963-bfd3-9965d3f54113,NA,,,acastelein,Plantae,0,2023-06-05T22:16:26.137Z,2023-06-06T16:35:49.356Z,2023-06-05T17:03:43.000Z,TRUE,,57019,Cuscuta californica,species,48460/47126/211194/47125/47124/48515/52345/993829/56932,90540,California dodder,TRUE,English,47126,Plantae,kingdom,70,48460,acastelein,https://static.inaturalist.org/attachments/users/icons/2917974/thumb.png?1656509435
165800079,2023-06-05,,34.46495,-120.47127,NA,NA,True Hoppers,2917974,125816,2023-06-05T22:16:47.248Z,2023-06-06T04:57:09.470Z,"Goleta, CA, US",FALSE,2023-06-05 10:14:54-07:00,47158,1,0,2023-06-05T17:14:54.000Z,Pacific Time (US & Canada),FALSE,FALSE,86,NA,NA,NA,needs_id,NA,NA,NA,CC-BY-NC,https://www.inaturalist.org/observations/165800079,2,0,America/Los_Angeles,3,0,2,FALSE,47744,1,NA,86,TRUE,0,2023-11-03T21:52:46.311Z,NA,e5d4317d-2ef8-4335-9554-def92db3f35d,NA,,,acastelein,Insecta,0,2023-06-05T22:16:47.248Z,2023-06-06T04:57:09.470Z,2023-06-05T17:14:54.000Z,FALSE,,125816,Auchenorrhyncha,suborder,48460/1/47120/372739/47158/184884/47744,1626627,True Hoppers,TRUE,English,47158,Insecta,class,50,48460/1/47120/372739,acastelein,https://static.inaturalist.org/attachments/users/icons/2917974/thumb.png?1656509435
165800341,2023-06-05,,34.47917,-120.4754466667,NA,NA,Yellow-faced Bumble Bee,2917974,57689,2023-06-05T22:17:38.933Z,2023-06-06T16:35:48.197Z,"Goleta, CA, US",FALSE,2023-06-05 12:31:03-07:00,47158,1,0,2023-06-05T19:31:03.000Z,Pacific Time (US & Canada),FALSE,FALSE,4,NA,NA,NA,research,NA,NA,NA,CC-BY-NC,https://www.inaturalist.org/observations/165800341,4,0,America/Los_Angeles,3,0,2,FALSE,57689,1,NA,4,TRUE,0,2023-11-03T21:53:18.513Z,NA,bae0c736-fd64-47cb-bafd-9d1b1ab1090c,open,,,acastelein,Insecta,0,2023-06-05T22:17:38.933Z,2023-06-06T16:35:48.197Z,2023-06-05T19:31:03.000Z,TRUE,,57689,Bombus vosnesenskii,species,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538900,1046103,Yellow-faced Bumble Bee,TRUE,English,47158,Insecta,class,50,48460/1/47120/372739,acastelein,https://static.inaturalist.org/attachments/users/icons/2917974/thumb.png?1656509435
165800497,2023-06-05,,34.48013,-120.4762033333,NA,NA,Grasshopper Sparrow,2917974,10139,2023-06-05T22:18:26.417Z,2023-06-06T16:35:47.752Z,"Cojo Bay Rd, Goleta, CA, US",FALSE,2023-06-05 12:38:12-07:00,3,1,0,2023-06-05T19:38:12.000Z,Pacific Time (US & Canada),FALSE,FALSE,4,NA,NA,NA,research,NA,NA,NA,CC-BY-NC,https://www.inaturalist.org/observations/165800497,3,0,America/Los_Angeles,3,0,2,FALSE,10139,1,NA,4,TRUE,0,2023-11-03T21:53:18.513Z,NA,368154e6-49bd-47c1-a6d5-2a3391567a9d,open,,,acastelein,Aves,0,2023-06-05T22:18:26.417Z,2023-06-06T16:35:47.752Z,2023-06-05T19:38:12.000Z,TRUE,,10139,Ammodramus savannarum,species,48460/1/2/355675/3/7251/559248/10131,12763,Grasshopper Sparrow,TRUE,English,3,Aves,class,50,48460/1/2/355675,acastelein,https://static.inaturalist.org/attachments/users/icons/2917974/thumb.png?1656509435
166284142,2023-06-08,,34.5616668742,-120.4472984747,NA,NA,tidy tips,1263172,50876,2023-06-08T18:22:56.937Z,2024-03-26T23:52:59.772Z,"Lompoc, CA, US",FALSE,2023-06-08 10:16:32-07:00,47126,5,0,2023-06-08T17:16:32.000Z,Pacific Time (US & Canada),FALSE,FALSE,7,NA,NA,NA,research,NA,NA,NA,CC-BY-NC,https://www.inaturalist.org/observations/166284142,1,0,America/Los_Angeles,3,0,6,FALSE,50876,1,NA,7,TRUE,0,2024-05-07T18:05:37.089Z,NA,4ad961ff-8b53-4a71-a2e6-230e61971438,NA,,,daragain,Plantae,0,2023-06-08T18:22:56.937Z,2024-03-26T23:52:59.772Z,2023-06-08T17:16:32.000Z,TRUE,,50876,Layia platyglossa,species,48460/47126/211194/47125/47124/47605/47604/632790/179978/50877,81005,tidy tips,TRUE,English,47126,Plantae,kingdom,70,48460,daragain,https://static.inaturalist.org/attachments/users/icons/1263172/thumb.jpg?1541264072
