key,scientificName,longitude,latitude,coordinateUncertaintyInMeters,eventDate,year,source,dataset,URL
in:225024301,Lupinus arboreus,-120.463858,34.449272,2,2024-06-24,2024,CalFlora,iNaturalist,https://www.inaturalist.org/observations/225024301
in:225009322,Digitalis purpurea,-120.44427,34.458097,3,2024-06-24,2024,CalFlora,iNaturalist,https://www.inaturalist.org/observations/225009322
5934740,Deinandra increscens ssp. increscens,-120.473991,34.480704,3989,2023-10-19,2023,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=5934740
5934729,Deinandra increscens ssp. villosa,-120.440488,34.452445,3989,2023-10-19,2023,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=5934729
5934730,Deinandra increscens ssp. villosa,-120.448657,34.451309,3989,2023-10-19,2023,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=5934730
5972283,Deinandra increscens,-120.49466,34.49929,3989,2023-08-04,2023,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=5972283
5972293,Isocoma menziesii,-120.49466,34.49929,3989,2023-08-04,2023,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=5972293
in:176059858,Pteridium aquilinum,-120.455955,34.56435,4,2023-07-24,2023,CalFlora,iNaturalist,https://www.inaturalist.org/observations/176059858
in:175627763,Trifolium hirtum,-120.450837,34.562847,4,2023-07-24,2023,CalFlora,iNaturalist,https://www.inaturalist.org/observations/175627763
svy5031,checklist,-120.45556,34.493616,NA,2023-03-01,2023,CalFlora,TNC,https://www.calflora.org/entry//entry/occdetail.html?seq_num=svy5031
in:133046451,Carthamus lanatus,-120.409834,34.545748,2772,2022-08-22,2022,CalFlora,iNaturalist,https://www.inaturalist.org/observations/133046451
UCR-298576,Deinandra increscens ssp. increscens ssp. villosa,-120.48519,34.48706,3989,2022-08-18,2022,CalFlora,UC Riverside,https://www.cch2.org/portal/collections/individual/index.php?occid=5733534
UCR-298577,Deinandra increscens ssp. villosa,-120.46978,34.46561,3989,2022-08-18,2022,CalFlora,UC Riverside,https://www.cch2.org/portal/collections/individual/index.php?occid=5733533
UCR-298578,Deinandra increscens ssp. villosa,-120.46461,34.46319,3989,2022-08-18,2022,CalFlora,UC Riverside,https://www.cch2.org/portal/collections/individual/index.php?occid=5733532
UCR-298579,Deinandra increscens ssp. villosa ssp. increscens,-120.45739,34.45186,3989,2022-08-18,2022,CalFlora,UC Riverside,https://www.cch2.org/portal/collections/individual/index.php?occid=5733531
UC2094072,Deinandra increscens ssp. villosa,-120.464611,34.463194,10,2022-08-17,2022,CalFlora,UC/JEPS,https://www.cch2.org/portal/collections/individual/index.php?occid=5963518
UC2094074,Deinandra increscens ssp. villosa,-120.485194,34.487056,10,2022-08-17,2022,CalFlora,UC/JEPS,https://www.cch2.org/portal/collections/individual/index.php?occid=5963912
UC2094073,Deinandra increscens ssp. villosa,-120.469778,34.465611,100,2022-08-17,2022,CalFlora,UC/JEPS,https://www.cch2.org/portal/collections/individual/index.php?occid=5966513
UC2094071,Deinandra increscens ssp. villosa,-120.457389,34.451861,100,2022-08-17,2022,CalFlora,UC/JEPS,https://www.cch2.org/portal/collections/individual/index.php?occid=5964674
5680722,Eriodictyon capitatum,-120.37279,34.51405,3989,2022-06-14,2022,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=5680722
5719047,Lupinus arboreus,-120.47235,34.455783,3989,2022-06-13,2022,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=5719047
5719616,Cotula coronopifolia,-120.47235,34.455783,3989,2022-06-13,2022,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=5719616
5719629,Heliotropium curassavicum,-120.47235,34.455783,3989,2022-06-13,2022,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=5719629
5719631,Isocoma menziesii var. sedoides,-120.47235,34.455783,3989,2022-06-13,2022,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=5719631
po225683,Brassica tournefortii,-120.497447,34.503991,NA,2022-02-28,2022,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=po225683
po223918,Leptochloa dubia,-120.498768,34.510001,NA,2022-02-07,2022,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=po223918
in:51271850,Helenium puberulum,-120.466179,34.452717,30,2020-06-27,2020,CalFlora,iNaturalist,https://www.inaturalist.org/observations/51271850
3968314,Madia sativa,-120.41928,34.45318,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968314
3968315,Deinandra increscens ssp. villosa,-120.41928,34.45318,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968315
3968316,Isocoma menziesii,-120.41928,34.45318,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968316
3968317,Malvella leprosa,-120.41928,34.45318,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968317
3968321,Artemisia dracunculus,-120.4663,34.4533,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968321
3968389,Helenium puberulum,-120.4663,34.4533,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968389
3968390,Ambrosia chamissonis,-120.4663,34.4533,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968390
3968391,Croton californicus,-120.4663,34.4533,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968391
3968392,Baccharis glutinosa,-120.4663,34.4533,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968392
3968395,Senecio blochmaniae,-120.4663,34.4533,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968395
3968396,Deinandra increscens,-120.4663,34.4533,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968396
3977404,Woodwardia fimbriata,-120.4663,34.4533,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3977404
